Station,Station Name,Year,Overall WQI,WQI FC,WQI Oxy,WQI pH,WQI TSS,WQI Temp,WQI TPN,WQI TP,WQI Turb,Location 1
2.50E+61,Abernathy Cr nr mouth,2013,81,79,95,95,83,83,73,82,87,POINT (-123.1662 46.1948)
25F060,Mill Cr. nr mouth,2005,85,73,94,85,86,88,82,100,87,POINT (-123.1786 46.1906)
25F060,Mill Cr. nr mouth,2006,90,80,91,91,82,82,82,100,89,POINT (-123.1786 46.1906)
25F060,Mill Cr. nr mouth,2007,90,81,93,92,89,87,80,100,87,POINT (-123.1786 46.1906)
25F060,Mill Cr. nr mouth,2008,91,81,94,93,92,87,81,100,94,POINT (-123.1786 46.1906)
25F060,Mill Cr. nr mouth,2009,90,88,91,92,88,82,78,91,88,POINT (-123.1786 46.1906)
25F060,Mill Cr. nr mouth,2010,80,76,94,88,75,90,80,84,78,POINT (-123.1786 46.1906)
25F060,Mill Cr. nr mouth,2011,77,85,95,94,70,88,74,76,75,POINT (-123.1786 46.1906)
25F060,Mill Cr. nr mouth,2012,88,82,93,93,89,85,81,94,93,POINT (-123.1786 46.1906)
25F060,Mill Cr nr mouth,2013,89,79,94,93,85,87,79,95,88,POINT (-123.1786 46.1906)
26B070,Cowlitz R @ Kelso,1995,88,94,89,88,72,85,96,74,71,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,1996,63,89,95,90,43,84,86,52,30,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,1997,63,77,91,94,40,82,88,48,51,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,1998,67,75,92,96,44,83,92,58,35,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,1999,53,76,93,92,20,91,82,26,29,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,2000,72,88,93,94,46,91,93,56,60,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,2001,61,44,91,99,71,81,93,76,83,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,2002,68,85,93,95,34,86,90,32,57,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,2003,79,89,93,97,51,81,97,58,68,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,2004,69,85,93,89,37,82,93,45,57,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,2005,64,86,92,95,29,84,85,32,49,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,2006,84,93,93,97,60,84,92,75,75,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,2007,65,82,94,92,24,81,93,38,39,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,2008,70,90,95,98,32,86,96,33,41,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,2009,75,93,92,96,51,74,93,50,61,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,2010,77,80,93,97,53,87,95,67,69,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,2011,70,82,96,95,43,90,92,48,63,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,2012,78,81,93,98,51,86,97,69,76,POINT (-122.9143 46.1454)
26B070,Cowlitz R @ Kelso,2013,88,83,93,97,67,87,97,78,82,POINT (-122.9143 46.1454)
27B070,Kalama R nr Kalama,1995,90,90,89,88,95,77,93,91,98,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,1996,77,90,88,96,66,76,77,76,66,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,1997,91,94,89,83,90,81,79,64,90,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,1998,81,93,81,86,85,64,82,73,85,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,1999,73,91,87,91,63,82,73,61,68,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,2000,92,90,91,91,91,84,85,73,94,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,2001,81,79,87,84,87,70,87,79,92,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,2002,91,84,84,96,91,83,76,76,93,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,2003,88,90,80,97,95,71,77,73,97,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,2004,78,81,79,94,74,73,77,80,79,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,2005,88,89,82,94,86,73,72,94,90,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,2006,87,93,75,94,95,72,75,90,98,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,2007,74,81,89,91,70,76,77,78,75,POINT (-122.8373 46.0473)
27B070,Kalama R nr Kalama,2008,93,88,95,85,90,85,80,88,91,POINT (-122.8373 46.0473)
